1,道の途中で撮りました。途中混んでいましたが素晴らしい景色でした！,晴れ,冬用ジャケットで快適,問題なし
2,名前は忘れましたが、ダムがあったので愛車と一緒に。ライダーで賑わっていました。,曇り,メッシュジャケットでやや寒い,落ち葉に注意
3,あたり一面田んぼ！,晴れ,冬用ジャケットでやや寒い,砂利に注意
4,工業地帯に来てみました！,小雨,最大限の防寒対策必須,一部凍結しているが走行可能
5,まるでハワイにいるかのようでした！,晴れ,暑い,問題なし
6,今日はツーリング日和ですね。,晴れ,メッシュジャケットで快適,問題なし
7,かっこいい！！！,晴れ,メッシュジャケットで快適,問題なし
8,ワインディングが楽しかった！,曇り,冬用ジャケットで快適,一部凍結しているが走行可能
9,家の周りの荒地です笑,霧,冬用ジャケットで快適,砂利に注意
10,稲刈り後の田んぼとバイク,晴れ,冬用ジャケットでやや寒い,問題なし
11,稲刈り後の田んぼとバイク,晴れ,冬用ジャケットでやや寒い,問題なし
12,渋滞で疲れたけどバイク最高！,小雨,冬用ジャケットでやや寒い,落ち葉に注意
13,工業地帯に来てみました！,小雨,最大限の防寒対策必須,一部凍結しているが走行可能
14,地元の海の絶景スポット発見発見！,晴れ,最大限の防寒対策必須,問題なし
15,地元のダムに来てみた,晴れ,暑い,問題なし
16,バイクが映えますなあ,霧,冬用ジャケットで快適,問題なし
17,ここのリンリンロードはバイクも走れるよ！,曇り,冬用ジャケットで快適,問題なし
18,夕陽とバイク,晴れ,メッシュジャケットでやや寒い,砂利に注意
19,二輪車通行区間に突入したため引き返しますww,晴れ,メッシュジャケットでやや寒い,砂利に注意
20,日本は美しい。今が見頃ですよ！,曇り,メッシュジャケットでやや寒い,落ち葉に注意
21,ここはどこでしょう,晴れ,冬用ジャケットでやや寒い,問題なし
22,今日はみんなでツーリング♪,晴れ,冬用ジャケットでやや寒い,問題なし
23,イケメンやろ？,晴れ,冬用ジャケットでやや寒い,問題なし
24,かっけえやろ？,晴れ,冬用ジャケットでやや寒い,問題なし
25,本田兄弟,晴れ,冬用ジャケットで快適,問題なし
26,本田兄弟,晴れ,冬用ジャケットで快適,問題なし
27,道の途中で撮りました。途中混んでいましたが素晴らしい景色でした！,晴れ,冬用ジャケットで快適,問題なし
28,道の駅で休憩,雪,最大限の防寒対策必須,一部凍結しているが走行可能
29,男カワサキ,晴れ,冬用ジャケットでやや寒い,問題なし
30,男カワサキ,晴れ,冬用ジャケットでやや寒い,問題なし
31,UFJみたいなスポットを発見！,晴れ,冬用ジャケットでやや寒い,砂利に注意
32,男はカワサキでしょ,曇り,冬用ジャケットで快適,問題なし
33,地元の海にこんないい場所があったとは,晴れ,冬用ジャケットでやや寒い,一部凍結しているが走行可能
34,バイクが景色を引き立てる。,豪雨,メッシュジャケットでやや寒い,問題なし
35,ここのお店がめっちゃ美味い！名前は秘密。,晴れ,冬用ジャケットでやや寒い,問題なし
36,今日は一人旅に来ております。,晴れ,冬用ジャケットでやや寒い,問題なし
37,ここは元々古墳があったらしいです。,晴れ,冬用ジャケットでやや寒い,問題なし
38,なんかめちゃめちゃでかい船あった笑,小雨,最大限の防寒対策必須,一部凍結しているが走行可能
39,ちょっと休憩,曇り,メッシュジャケットでやや寒い,落ち葉に注意
40,知る人ぞ知る山の奥地。名所です。,晴れ,暑い,問題なし
41,なんかめちゃめちゃでかい船あった笑,小雨,最大限の防寒対策必須,一部凍結しているが走行可能
42,ここの店長は太っ腹。そして美味い。,晴れ,冬用ジャケットで快適,問題なし
43,Cool!!!!!!!!!!!!!!!,晴れ,冬用ジャケットで快適,問題なし
44,今日はハーレーミーティング,曇り,メッシュジャケットでやや寒い,落ち葉に注意
45,ここの橋の真ん中が県の境目らしい,晴れ,冬用ジャケットでやや寒い,問題なし
46,日本は美しい。今が見頃ですよ！,曇り,メッシュジャケットでやや寒い,落ち葉に注意
47,今日はとある旅館に一人旅にきております,晴れ,冬用ジャケットで快適,問題なし
48,桜が満開！,晴れ,冬用ジャケットでやや寒い,砂利に注意
49,今日はハーレーミーティング,曇り,メッシュジャケットでやや寒い,落ち葉に注意